TIMESTAMP: 2025-06-17T10:00:00Z | SENSOR_01: 23.5°C | HUMIDITY: 65% | PRESSURE: 1013.25 hPa
TIMESTAMP: 2025-06-17T10:00:01Z | SENSOR_01: 23.6°C | HUMIDITY: 65% | PRESSURE: 1013.22 hPa
TIMESTAMP: 2025-06-17T10:00:02Z | SENSOR_01: 23.4°C | HUMIDITY: 66% | PRESSURE: 1013.28 hPa
TIMESTAMP: 2025-06-17T10:00:03Z | SENSOR_01: 23.7°C | HUMIDITY: 64% | PRESSURE: 1013.30 hPa
TIMESTAMP: 2025-06-17T10:00:04Z | SENSOR_01: 23.5°C | HUMIDITY: 65% | PRESSURE: 1013.25 hPa
TIMESTAMP: 2025-06-17T10:00:05Z | SENSOR_01: 23.8°C | HUMIDITY: 63% | PRESSURE: 1013.35 hPa
TIMESTAMP: 2025-06-17T10:00:06Z | SENSOR_01: 24.0°C | HUMIDITY: 62% | PRESSURE: 1013.40 hPa
TIMESTAMP: 2025-06-17T10:00:07Z | SENSOR_01: 24.1°C | HUMIDITY: 61% | PRESSURE: 1013.42 hPa
TIMESTAMP: 2025-06-17T10:00:08Z | SENSOR_01: 24.3°C | HUMIDITY: 60% | PRESSURE: 1013.45 hPa
TIMESTAMP: 2025-06-17T10:00:09Z | SENSOR_01: 24.2°C | HUMIDITY: 61% | PRESSURE: 1013.43 hPa
TIMESTAMP: 2025-06-17T10:00:10Z | SENSOR_01: 24.0°C | HUMIDITY: 62% | PRESSURE: 1013.38 hPa
TIMESTAMP: 2025-06-17T10:00:11Z | SENSOR_01: 23.9°C | HUMIDITY: 63% | PRESSURE: 1013.35 hPa
TIMESTAMP: 2025-06-17T10:00:12Z | SENSOR_01: 23.7°C | HUMIDITY: 64% | PRESSURE: 1013.32 hPa
TIMESTAMP: 2025-06-17T10:00:13Z | SENSOR_01: 23.5°C | HUMIDITY: 65% | PRESSURE: 1013.28 hPa
TIMESTAMP: 2025-06-17T10:00:14Z | SENSOR_01: 23.3°C | HUMIDITY: 66% | PRESSURE: 1013.25 hPa
TIMESTAMP: 2025-06-17T10:00:15Z | SENSOR_01: 23.1°C | HUMIDITY: 67% | PRESSURE: 1013.20 hPa
TIMESTAMP: 2025-06-17T10:00:16Z | SENSOR_01: 23.0°C | HUMIDITY: 68% | PRESSURE: 1013.18 hPa
TIMESTAMP: 2025-06-17T10:00:17Z | SENSOR_01: 22.8°C | HUMIDITY: 69% | PRESSURE: 1013.15 hPa
TIMESTAMP: 2025-06-17T10:00:18Z | SENSOR_01: 22.9°C | HUMIDITY: 68% | PRESSURE: 1013.17 hPa
TIMESTAMP: 2025-06-17T10:00:19Z | SENSOR_01: 23.0°C | HUMIDITY: 67% | PRESSURE: 1013.20 hPa
TIMESTAMP: 2025-06-17T10:00:20Z | SENSOR_01: 23.2°C | HUMIDITY: 66% | PRESSURE: 1013.23 hPa
DATA_STREAM_COMPLETE
